6403, 11.09
1901, 0.00
6378, 0.84
7554, 0.95
1630, 1.97
9977, 10.00
10133, 0.37
7200, 1.56
3280, 0.20
10318, 3.44
17750, 0.21
8462, 0.36
14464, 1.44
13742, 3.77
11304, 1.25
11524, 0.99
11038, 2.58
3780, 14.22
5684, 0.35
3784, 0.70
14923, 2.25
16330, 2.37
9351, 1.15
9014, 3.62
1829, 1.78
6978, 0.94
13785, 0.32
10153, 0.85
384, 0.99
6234, 4.36
1744, 0.26
5092, 3.31
12090, 2.07
10956, 1.52
14816, 0.92
3829, 0.18
13191, 1.23
4073, 1.04
2415, 1.09
9986, 1.64
11605, 3.91
14223, 0.73
14454, 2.64
9874, 0.55
9304, 5.42
3576, 0.00
4562, 0.67
483, 2.74
3485, 0.20
6893, 2.16
9366, 0.00
9937, 2.58
7893, 0.81
5863, 4.96
8816, 1.16
10320, 0.97
12240, 1.69
9989, 14.11
7535, 1.99
5349, 2.11
No match: Vacant
3345, 1.26
2726, 0.59
13365, 1.00
3475, 0.95
269, 2.03
10344, 0.20
9235, 1.56
9321, 1.62
11910, 0.65
4275, 5.34
14677, 0.74
48, 0.00
2854, 2.53
13033, 0.17
7517, 0.30
16378, 0.48
17684, 0.44
7166, 1.62
14104, 1.15
5134, 1.08
6094, 2.71
2946, 1.64
12268, 0.16
5626, 2.06
8290, 0.65
5595, 2.46
8849, 2.31
13443, 1.24
2484, 0.66
10266, 2.18
8025, 2.29
16047, 1.25
3802, 2.14
11238, 0.99
16319, 1.00
4964, 0.99
5655, 0.83
7034, 3.27
5977, 0.74
2370, 1.07
12952, 1.17
5223, 1.12
14882, 0.76
13077, 0.76
2877, 2.56
7537, 2.61
7357, 3.56
8612, 0.93
4875, 0.00
12004, NULL
4466, 3.11
15901, 1.06
8985, 0.38
10053, 2.58
11012, 0.65
8703, 1.32
17713, 1.69
2138, 1.14
10154, 1.16
18844, 1.45
17049, 1.71
12544, 0.62
9347, 1.01
11704, 0.85
14569, 0.98
9373, 1.47
1428, 0.78
3609, 26.42
6241, 0.39
3509, 2.03
12930, 4.30
8622, 3.02
9407, 3.07
668, 0.92
11223, 0.93
11207, 0.75
7941, 3.11
11099, 0.39
3007, 1.57
14090, 0.52
9632, 1.42
3262, 0.37
5032, 1.15
5838, 0.88
6881, 1.61
8859, 0.89
8566, 0.74
6274, 1.23
11569, 0.14
14647, 5.15
9086, 0.63
11845, 8.15
11784, 2.86
10489, 2.99
6036, 0.18
3812, 0.77
1110, 0.00
11802, 1.23
11717, 1.52
14270, 0.28
13271, 0.36
5039, 5.12
3469, NULL
4326, 1.18
5081, 1.09
4295, 0.78
No match: Etherington,William
13667, 3.10
13203, 0.41
10819, 0.74
861, 0.00
6898, 0.53
4304, 0.38
10104, 0.63
16148, 1.26
9550, 2.04
8105, 0.00
7341, 4.19
4598, 0.97
8611, 1.89
226, 0.91
3011, 1.48
8383, 0.99
8663, 0.84
6650, 2.56
1792, 0.44
6284, 0.99
8250, 1.22
10400, 2.90
6708, 0.92
16280, 0.82
3597, 1.43
16916, 0.18
8065, 0.79
9730, 2.71
5157, 1.52
7655, 0.92
14889, 1.35
8678, 0.47
20568, 0.00
5040, NULL
1241, 0.34
2058, 0.62
2098, 1.46
5761, 1.06
4700, 0.59
12517, 0.18
13018, 11.32
7954, 5.44
12276, 1.27
9391, 2.36
9931, 0.91
15181, 9.13
13101, 2.20
5113, 2.00
5600, 1.16
11850, 1.33
15156, 2.60
7397, 0.69
5953, 0.91
5555, 1.34
8553, 1.82
13772, 0.53
9637, 1.49
2355, 1.54
2796, 1.50
1196, 0.65
16449, 0.49
9763, 0.69
11355, 1.11
15645, 2.00
5294, 2.21
3147, 0.56
338, 1.53
13743, 0.90
3878, 0.37
3744, 1.31
